signal = 1.0, price = [0, 147100]
signal = 0.7801418439716312, price = [0, 147400]
signal = 0.7092198581560284, price = [0, 147500]
signal = 1.9867549668874174, price = [0, 147700]
signal = 0.6622516556291391, price = [0, 147700]
signal = 1.3245033112582782, price = [0, 147700]
signal = 1.3245033112582782, price = [0, 147700]
signal = -0.6622516556291391, price = [147600, 0]
signal = -0.6622516556291391, price = [147600, 0]
signal = 0.47297297297297297, price = [0, 147600]
signal = -0.7246376811594203, price = [147500, 0]
signal = -1.6993464052287581, price = [147400, 0]
signal = 0.6535947712418301, price = [0, 147500]
signal = 0.7518796992481203, price = [0, 147500]
signal = 0.7518796992481203, price = [0, 147500]
signal = -2.466666666666667, price = [147400, 0]
signal = -1.875, price = [147400, 0]
signal = 1.8867924528301887, price = [147400, 147600]
signal = -0.4716981132075472, price = [147300, 0]
signal = -0.46511627906976744, price = [147300, 0]
signal = 0.46511627906976744, price = [0, 147300]
signal = 3.9423076923076925, price = [0, 147300]
signal = -0.9036144578313252, price = [147300, 0]
signal = 0.903954802259887, price = [0, 147500]
signal = -0.5494505494505495, price = [147300, 0]
signal = -0.29673590504451036, price = [147300, 0]
signal = -0.31545741324921134, price = [147200, 0]
signal = 0.7272727272727273, price = [0, 147000]
signal = 0.36363636363636365, price = [0, 147000]
signal = 0.11194029850746269, price = [0, 147000]
signal = 1.0416666666666667, price = [0, 147100]
signal = 1.5384615384615385, price = [0, 147100]
signal = 0.5714285714285714, price = [0, 147200]
signal = -0.89171974522293, price = [147100, 0]
signal = -1.2738853503184715, price = [147100, 0]
signal = -0.6369426751592357, price = [147100, 0]
signal = -1.1976047904191618, price = [147100, 0]
signal = -0.6369426751592357, price = [147000, 0]
signal = -0.6369426751592357, price = [146900, 0]
signal = -0.6097560975609757, price = [146900, 0]
signal = -2.0710059171597637, price = [146900, 0]
signal = -0.54421768707483, price = [146900, 0]
signal = 4.430894308943089, price = [0, 147000]
signal = 0.7936507936507937, price = [0, 147000]
signal = 0.4132231404958678, price = [0, 147100]
signal = 0.4132231404958678, price = [0, 147100]
signal = 0.8264462809917356, price = [0, 147100]
signal = -2.1885521885521886, price = [147100, 0]
signal = 0.5901639344262295, price = [0, 147200]
signal = 2.7160493827160495, price = [0, 147100]
signal = 0.4639175257731959, price = [0, 147100]
signal = 1.7748917748917747, price = [0, 147100]
signal = -0.27548209366391185, price = [147000, 0]
signal = 0.22792022792022792, price = [0, 147200]
signal = 0.33994334277620397, price = [0, 147200]
signal = 0.28328611898017, price = [0, 147300]
signal = 0.5128205128205128, price = [0, 147400]
signal = 2.142857142857143, price = [0, 147400]
signal = 0.5464480874316939, price = [0, 147400]
signal = -0.7246376811594203, price = [147400, 0]
signal = 0.3731343283582089, price = [0, 147200]
signal = -0.5102040816326531, price = [147200, 0]
signal = 2.151898734177215, price = [0, 147400]
signal = -0.4583333333333333, price = [147200, 0]
signal = 1.1627906976744187, price = [0, 147400]
signal = 1.2056737588652482, price = [0, 147500]
signal = 0.7042253521126761, price = [0, 147500]
signal = 1.0822510822510822, price = [0, 147700]
signal = 0.4524886877828054, price = [0, 147600]
signal = -0.4739336492890995, price = [147400, 0]
signal = -0.9049773755656108, price = [147400, 0]
signal = -0.8658008658008658, price = [147500, 0]
signal = 0.5263157894736842, price = [0, 147500]
signal = -1.1386138613861387, price = [147400, 0]
signal = -1.0416666666666667, price = [147400, 0]
signal = -0.5952380952380952, price = [147300, 0]
signal = -2.4489795918367343, price = [147300, 0]
signal = -4.0625, price = [147300, 0]
signal = -0.3472222222222222, price = [147300, 0]
signal = -0.3472222222222222, price = [147300, 0]
signal = -0.6944444444444444, price = [147300, 0]
signal = -0.3597122302158273, price = [147200, 0]
signal = -0.6944444444444444, price = [147100, 0]
signal = -0.36363636363636365, price = [147000, 0]
signal = -0.37735849056603776, price = [147100, 0]
signal = -0.37735849056603776, price = [147100, 0]
signal = -0.4405286343612335, price = [147000, 0]
signal = -0.5982905982905983, price = [147000, 0]
signal = 0.8547008547008548, price = [0, 147000]
signal = -0.8547008547008548, price = [147000, 0]
signal = 0.9345794392523366, price = [0, 147100]
signal = -0.9345794392523366, price = [147000, 0]
signal = 1.0309278350515465, price = [0, 147000]
signal = -1.0309278350515465, price = [147000, 0]
signal = -2.5641025641025643, price = [146900, 0]
signal = -5.387931034482759, price = [146900, 0]
signal = 0.4310344827586207, price = [0, 146800]
signal = -1.1067193675889329, price = [146700, 0]
